"country_destination","age_bucket","gender","population_in_thousands","year","lat_destination","lng_destination","distance_km","destination_km2","destination_language","language_levenshtein_distance"
"AU","100+","male",1,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","95-99","male",9,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","90-94","male",47,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","85-89","male",118,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","80-84","male",199,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","75-79","male",298,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","70-74","male",415,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","65-69","male",574,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","60-64","male",636,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","55-59","male",714,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","50-54","male",778,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","45-49","male",778,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","40-44","male",820,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","35-39","male",797,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","30-34","male",881,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","25-29","male",895,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","20-24","male",820,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","15-19","male",768,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","10-14","male",743,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","5-9","male",784,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","0-4","male",824,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","100+","female",4,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","95-99","female",25,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","90-94","female",94,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","85-89","female",179,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","80-84","female",252,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","75-79","female",338,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","70-74","female",438,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","65-69","female",592,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","60-64","female",660,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","55-59","female",739,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","50-54","female",798,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","45-49","female",793,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","40-44","female",838,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","35-39","female",801,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","30-34","female",865,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","25-29","female",851,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","20-24","female",787,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","15-19","female",737,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","10-14","female",707,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
"AU","5-9","female",745,2015,-26.853388,133.27516,15297.744,7741220,"eng",0
